# Mutants that already survived when this gate was first recorded.
#
# WHAT A LINE MEANS
#   tools/battery/run_mutation_gate.py tested this mutation, the
#   package's whole suite still passed, and the run was allowed
#   anyway because the hole predates the gate.  A survivor this
#   file does not carry fails the run.  Same shape and same
#   reason as _CRLF_DEBT in tests/test_line_ending_stability.py:
#   a gate that is red on its first run gets widened until it
#   means nothing, so the existing debt is written down once and
#   nothing may be added to it by accident.
#
#   Every line here is a place where the crate's tests would not
#   notice that mutation.  It is a work list, not a permission
#   slip.  Deleting a line is how a coverage hole is closed:
#   write the test, watch the run stay green, remove the line.
#
# FORMAT
#   COUNT | PACKAGE | FILE | FUNCTION | GENRE | REPLACEMENT
#
#   COUNT is how many identical survivors that key stands for --
#   the same mutation can appear more than once in one function.
#   REPLACEMENT is JSON-quoted because it may contain the field
#   separator.  There is no line number on purpose: line numbers
#   move when anything above them is edited, and a list keyed by
#   them would forgive a survivor that slid down the file and
#   manufacture a fresh one out of the same mutation.
#
# THE ONE FALSE POSITIVE THIS SHAPE HAS
#   A function moved bodily to another file changes its key, so
#   every survivor it already had reads as fresh and the run is
#   red for a change that altered no behaviour.  Re-baseline
#   just that package -- minutes, not the whole list:
#     python tools/battery/run_mutation_gate.py --all-mutants \
#         --baseline --only <package> --jobs 8
#
# REGENERATE EVERYTHING (deliberately, never to make a red run
# green; it also discards any note written by hand above a line):
#   python tools/battery/run_mutation_gate.py --all-mutants --baseline --jobs 8

2 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | char_bytes | BinaryOperator | "!="
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | char_bytes | BinaryOperator | "*"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | char_bytes | BinaryOperator | "+"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | char_bytes | BinaryOperator | "-"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | char_bytes | BinaryOperator | "/"
2 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | char_bytes | BinaryOperator | "<"
3 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | char_bytes | BinaryOperator | "=="
2 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | char_bytes | BinaryOperator | ">="
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | char_bytes | FnValue | "Ok(vec![0])"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | char_bytes | FnValue | "Ok(vec![1])"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | char_bytes | FnValue | "Ok(vec![])"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | copy_variable | FnValue | "Ok(())"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | is_cdf5_only | FnValue | "false"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | is_cdf5_only | FnValue | "true"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | main | FnValue | "Default::default()"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | map_attr | BinaryOperator | "!="
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | map_attr | FnValue | "Ok(Default::default())"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | map_attr | MatchArmGuard | "false"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | map_attr | MatchArmGuard | "true"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | map_dtype | FnValue | "None"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | map_dtype | FnValue | "Some(Default::default())"
11 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | map_dtype | MatchArm | ""
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | push | BinaryOperator | "*"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | push | BinaryOperator | "+"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | push | BinaryOperator | "-"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | push | BinaryOperator | "/"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | push | BinaryOperator | "=="
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | push | FnValue | "Ok(())"
1 | netcdf-writer | crates/netcdf-writer/src/bin/nc_rewrite.rs | push | UnaryOperator | ""
